name,price,link,category,brand
bentley le barnato dolma kalem 141861,20567,https://www.alwaysfashion.com/tr/graf-von-faber-castell-bentley-le-barnato-dolma-kalem-141861,Fountain Pen,Graf von Faber-Castell
magnum edition dolma kalem f 156381,44237,https://www.alwaysfashion.com/tr/graf-von-faber-castell-magnum-edition-dolma-kalem-f-156381,Fountain Pen,Graf von Faber-Castell
magnum edition dolma kalem m 156380,44237,https://www.alwaysfashion.com/tr/graf-von-faber-castell-magnum-edition-dolma-kalem-m-156380,Fountain Pen,Graf von Faber-Castell
pen of the year 2021 şövalyeler limited edition roller kalem 145367,159553,https://www.alwaysfashion.com/tr/graf-von-faber-castell-pen-of-the-year-2021-sovalyeler-limited-edition-roller-kalem-145367,Rollerball Pen,Graf von Faber-Castell
limited edition heritage ottilie dolma kalem 156360,50546,https://www.alwaysfashion.com/tr/graf-von-faber-castell-limited-edition-heritage-ottilie-dolma-kalem-156360,Fountain Pen,Graf von Faber-Castell
tamitio rosé tükenmez kalem 141582,6205,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-rose-tukenmez-kalem-141582,Ballpoint Pen,Graf von Faber-Castell
tamitio taupe fineliner kalem 141576,6274,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-taupe-fineliner-kalem-141576,Other,Graf von Faber-Castell
tamitio rosé fineliner kalem 141577,6971,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-rose-fineliner-kalem-141577,Other,Graf von Faber-Castell
classic grenadilla roller kalem 145513,17429,https://www.alwaysfashion.com/tr/graf-von-faber-castell-classic-grenadilla-roller-kalem,Rollerball Pen,Graf von Faber-Castell
guilloche black dolma kalem 146540,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-black-dolma-kalem-146540,Fountain Pen,Graf von Faber-Castell
intuition ribbed black roller kalem 156213,9760,https://www.alwaysfashion.com/tr/graf-von-faber-castell-intuition-ribbed-black-roller-kalem-156213,Rollerball Pen,Graf von Faber-Castell
guilleche ciselé anthracite roller kalem 146710,11503,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilleche-cisele-anthracite-roller-kalem-146710,Rollerball Pen,Graf von Faber-Castell
